county,accident,population,lat,long
Carlsbad,511,112299,33.158092,-117.350594
Chula Vista,1008,260988,32.640053,-117.084198
Coronado,97,24910,32.693932,-117.190483
El Cajon,696,103091,32.800892,-116.961418
Encinitas,236,62254,33.0448,-117.29245
Escondido,1093,150243,33.13036,-117.085358
Imperial Beach,22,27149,32.583944,-117.113085
La Mesa,335,59177,32.766029,-117.022369
Lemon Grove,46,26511,32.740528,-117.026367
National City,296,60343,32.678109,-117.099197
Oceanside,839,174558,33.195869,-117.379486
Poway,98,49848,32.98637,-117.023491
San Marcos,362,92929,33.139469,-117.161148
Santee,107,57052,32.838383,-116.973917
Solana Beach,51,13337,32.99056,-117.269132
Vista,403,98079,33.202419,-117.235626